obs,deploy_id,ptt,instrument,type,location_class,error_radius,semi_major_axis,semi_minor_axis,ellipse_orientation,offset,offset_orientation,gpe_msd,gpe_u,count,qartod_time_flag,qartod_speed_flag,qartod_location_flag,qartod_rollup_flag,crs,trajectory,animal_age,animal_life_stage,animal_sex,animal_weight,animal_length,animal_length_2,animal,instrument_tag,instrument_location,taxon_name,taxon_lsid,comment,time,z,lat,lon
24,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-11-28 06:19:00,0.0,34.025,-118.573
25,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-05 00:15:00,0.0,33.605,-118.274
26,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-05 20:25:00,0.0,33.294,-117.723
27,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-07 19:45:00,0.0,32.067,-116.966
28,09_14-45869,45869.0,SPOT,Argos,A,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-07 20:13:00,0.0,32.093,-116.959
29,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 01:19:00,0.0,33.703,-108.625
30,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 04:30:00,0.0,31.852,-116.691
31,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-08 13:46:00,0.0,31.686,-116.782
32,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-09 04:09:00,0.0,31.126,-116.51
33,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-09 18:10:00,0.0,30.74,-116.13
34,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 09:19:00,0.0,29.438,-115.723
35,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 09:42:00,0.0,29.464,-116.528
36,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-11 12:58:00,0.0,31.17,-123.484
37,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 00:13:00,0.0,29.019,-114.94
38,09_14-45869,45869.0,SPOT,Argos,1,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 12:37:00,0.0,28.622,-114.819
39,09_14-45869,45869.0,SPOT,Argos,B,,,,,,,,,,1.0,1.0,1.0,1.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 17:09:00,0.0,28.532,-114.66
40,09_14-45869,45869.0,SPOT,Argos,Z,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-12 23:47:00,0.0,29.157,-110.139
41,09_14-45869,45869.0,SPOT,Argos,2,,,,,,,,,,1.0,4.0,1.0,4.0,-2147483647,5f0668aa6321be13bc7ef669,,juvenile,female,,224.0,,09_14,Wildlife Computers SPOT5,Wildlife Computers SPOT5,Carcharodon carcharias,urn:lsid:marinespecies.org:taxname:105838,,2009-12-13 01:57:00,0.0,28.267,-114.334
